Event,Driver,Trip,Starttime,Endtime,Speedingtime
138,2,80,99390,99790,410
139,2,80,101810,127600,24290
140,2,80,130290,132550,2240
141,2,80,133970,134260,290
142,2,80,137240,138110,880
143,2,80,158040,158740,490
144,2,80,163660,164020,370
145,2,80,167720,169870,2140
146,2,80,171080,173240,1850
147,2,87,20860,67960,46370
148,2,87,71150,84560,13420
149,2,87,86420,88730,1550
150,2,87,93030,120360,26450
151,2,87,122290,129150,5890
152,2,87,137720,146660,8380
153,2,90,36590,40550,3640
154,2,90,41680,77930,33210
155,2,90,96470,99510,2850
156,2,90,102170,116510,13400
157,2,91,62960,69660,6690
158,2,91,72700,73920,470
159,2,91,74970,80780,4980
160,2,91,104460,105790,1190
161,2,91,107460,143190,34880
162,2,91,179320,184550,4230
163,2,91,191290,200370,7680
164,2,126,2530,5550,3030
165,2,126,12100,16990,4590
166,2,131,37000,45050,7440
167,2,131,50110,70750,20380
168,2,131,72050,79670,6010
169,2,131,86400,88020,1540
170,2,131,89480,91810,1980
171,2,131,97610,104670,7070
172,2,131,121570,134580,12150
173,2,131,226860,230190,3340
174,2,131,231370,233140,1180
175,2,132,56080,58960,2890
176,2,132,61550,67330,4080
177,2,132,74980,79230,3980
178,2,132,85850,86990,1150
179,2,132,94180,103460,8600
180,2,132,104720,109280,3870
181,2,132,113680,114450,670
182,2,132,115550,116170,610
183,2,132,118130,119900,1770
184,2,132,121390,148130,24490
185,2,132,157110,158820,1550
186,2,137,14620,38280,23670
187,2,137,45750,47390,1640
188,2,137,50820,51790,960
189,2,137,52910,57380,3970
190,2,137,66000,67490,1490
191,2,137,71960,72580,630
192,2,137,77520,77630,120
193,2,137,79080,82130,2680
194,2,137,83280,84200,680
195,2,137,87900,110120,21590
196,2,137,114200,128500,13870
197,2,137,130890,149920,14910
198,2,137,151170,158460,7300
199,2,137,160300,189920,29630
200,2,137,192130,193920,1800
201,2,138,37600,39870,2280
202,2,138,41220,59370,18080
203,2,138,60680,61160,200
204,2,138,62380,88690,25290
205,2,138,91520,92230,720
206,2,138,93530,94840,1320
207,2,138,96390,99310,2930
208,2,138,100420,103950,3290
209,2,138,111190,111570,390
210,2,138,119870,120060,200
211,2,139,75370,82940,6580
212,2,139,93150,111090,16950
213,2,139,112950,114530,1590
214,2,140,274040,274980,250
215,2,140,276110,276970,750
216,2,140,285770,287100,1340
217,2,140,320270,321650,1330
218,2,140,336110,341860,5710
219,2,140,342890,357890,13200
220,2,140,372790,373120,230
221,2,140,376930,379940,3020
222,2,140,380950,382030,1080
223,2,140,391410,392880,1480
224,2,148,44690,47610,2050
225,2,148,60080,69710,8670
226,2,148,70930,88610,17690
227,2,148,94250,106530,11260
228,2,148,107610,108150,550
229,2,149,8470,29350,19070
230,2,149,32680,32820,140
231,2,149,35320,37670,2140
232,2,149,41600,45220,3100
233,2,150,31150,36500,5360
234,2,174,60630,62740,1900
235,2,174,64410,65030,390
236,2,174,66260,68130,1880
237,2,174,69710,70750,1050
238,2,174,72470,80260,7160
239,2,175,12820,17940,4840
240,2,175,19910,22220,1920
241,2,175,29490,30180,700
242,2,187,37580,46580,8810
243,2,187,49490,51030,1550
244,2,188,25110,28310,2300
245,2,188,29810,32680,1820
246,2,188,38090,43970,5580
247,2,188,47030,48840,1820
248,2,188,52550,53460,920
249,2,188,91030,92370,780
250,2,188,94770,96510,750
251,2,188,98020,112060,13230
252,2,188,123060,123610,560
253,2,190,61850,71800,8780
254,2,190,81200,87610,6420
255,2,190,91310,94790,3490
256,2,190,95970,111170,14140
257,2,190,112880,128390,14870
258,2,190,129400,130970,1460
259,2,190,133190,145080,11040
260,2,190,146220,146840,620
261,2,190,157460,166530,8450
262,2,190,170240,171100,320
263,2,190,175640,178550,2660
264,2,190,182250,184330,2070
265,2,190,190600,194180,2850
266,2,190,197890,197970,90
267,2,190,207830,209470,1200
268,2,190,221340,227920,6360
269,2,204,29880,34520,4130
270,2,204,36670,50080,10330
271,2,204,61870,71670,9630
272,2,205,19200,28900,8790
273,2,205,46540,52490,4880
274,2,205,53820,57660,3840
275,2,236,124030,132030,7440
276,2,236,140300,149270,7180
277,2,236,155720,157100,1390
278,2,236,161790,164200,2420
279,2,236,165920,185870,18340
280,2,236,187400,189520,1440
281,2,236,190940,195910,4980
282,2,237,120550,134150,13160
283,2,237,139610,157360,16540
284,2,237,159290,166160,5630
285,2,237,173480,174610,840
286,2,237,178890,179710,800
287,2,237,181190,181190,10
288,2,238,31020,38230,7220
