Driver,Trip,Distance,SecInMotion
5,18,19801.45,619.4
5,18,4316.904,131.3
5,18,9750.896,306.5
5,18,1229.819,42.6
5,18,175.7431,6.2
5,18,93.2864,3.6
5,18,1.001945,0.2
5,19,351.3311,14.5
5,19,2959.074,95.9
5,19,3667.061,121.2
5,19,19851.51,632.7
5,19,7874.837,258.4
5,19,9612.382,303.1
5,20,29350.44,969.9
5,20,9446.357,311.2
5,20,242.175,9.9
5,21,7566.477,245.1
5,21,19055.23,582.5
5,21,3316.242,103.1
5,21,6018.541,186.8
5,22,5793.098,183.2
5,22,4407.713,145.9
5,22,3554.645,118.3
5,22,5.729723,0.2
5,22,1863.718,65
5,22,41283.79,1357.3
5,22,8697.811,315.4
5,25,218.1656,8.5
5,25,1600.127,95.1
5,25,1193.431,39
5,25,115.1803,4.5
5,25,13.37417,1
5,25,36049.23,1103.7
5,25,9934.476,321.9
5,25,5816.144,184.3
5,26,5803.573,181.9
5,26,8038.708,243.2
5,26,29135.04,910.5
5,26,10322.61,355.2
5,28,2129.444,84.9
5,28,8156.834,312.6
5,28,28.595,1.5
5,28,1685.471,57.6
5,28,21234.47,669.9
5,28,1109.098,35.1
5,28,414.7751,25.9
5,33,1390.456,47.9
5,34,5297.49,183.9
5,34,6.074167,0.2
5,34,9.216112,0.3
5,34,1854.395,59
5,34,3404.495,103.1
5,34,3337.77,110.8
5,34,5168.779,170
5,34,3703.508,126
5,49,5781.172,168.1
5,49,8032.708,238.3
5,49,1738.107,48.8
5,49,133.6911,3.9
5,49,15579.77,464.5
5,54,1111.655,37
5,54,105.517,4.1
5,55,5272.342,169.6
5,55,14117.31,454.7
5,55,8371.354,271.4
5,55,18834.07,646.8
5,57,35407.47,1104.2
5,57,1170.316,45.2
5,57,397.6331,17.8
5,62,1074.418,34.2
5,62,186.0567,7.4
5,63,1401.958,54.6
5,65,1411.057,60.5
5,73,5818.419,178.8
5,73,2412.117,97.6
5,75,2338.361,87.7
5,75,6159.879,214.9
5,82,109.4342,5.2
5,82,2269.698,85
5,82,5695.058,210.2
5,83,1114.905,37.7
5,83,117.7867,4.1
5,84,10904.28,336.6
5,90,1144.106,50.4
5,91,1507.272,63.9
5,91,13.97333,0.6
5,93,8615.861,300.8
5,93,6047.817,207.9
5,96,14880.75,438.2
5,99,5021.416,180.2
5,99,3290.879,118.4
5,99,4179.387,135.6
5,99,1778.177,57.4
5,102,5773.819,172.7
5,102,784.3354,26
5,103,817.2201,25.1
5,103,189.09,8.6
5,103,4042.578,129
5,104,967.5904,28.9
5,105,27109.13,801.8
5,105,4393.188,135.3
5,105,9754.438,312.4
5,105,1227.292,38.1
5,105,316.7467,12.8
5,105,0.8705556,0.2
5,109,278.7584,8.8
5,109,6291.23,204.6
5,109,7853.424,251.3
5,109,3402.275,103.9
5,109,4061.302,120.7
5,109,1832.035,55.3
5,111,5789.056,178.7
5,111,1932.617,60.4
5,112,5293.999,168.6
5,112,1946.875,59.6
5,112,3439.935,105.1
5,112,12409.45,393.9
5,113,5196.73,204.3
5,122,15248.19,459.1
5,122,11637.8,343.7
5,122,2061.459,61.7
5,122,2213.191,65.1
5,122,9769.833,309.6
5,122,1161.438,41.5
5,122,8100.443,302.9
5,122,13521.06,506.3
5,125,2255.499,89.8
5,125,13863.97,723.9
5,125,3350.823,112.8
5,125,1533.262,54.6
5,125,4364.776,168.6
5,125,79.87612,2.8
5,125,18436.77,596.1
5,125,4224.579,139.8
5,125,9949.501,347.9
5,125,5662.598,187
5,126,11821.44,377.9
5,126,15130.39,487.9
5,126,4411.078,138.4
5,126,4326.579,137.2
5,128,4488.53,165.9
5,128,7178.64,261.2
5,128,2689.523,97.5
5,128,2609.083,84.3
5,128,11020.44,362.1
5,128,7849.471,253.9
5,128,3411.238,106.9
5,128,16006.27,496.8
5,129,7824.691,248
5,131,1117.514,38.2
5,131,117.7175,4.1
5,135,29875.63,945.5
5,135,5355.678,169.3
5,137,25320.51,773.1
5,137,3402.259,96.5
5,137,6008.418,184.8
5,143,5938.42,175.1
5,143,1931.273,62.6
5,143,5291.889,161.6
5,143,6.887779,0.2
5,143,1780.106,53.7
5,143,22828.54,672.8
5,143,1654.432,54.4
5,143,2438.291,87
5,143,5142.808,180.8
5,145,12160.52,409.5
5,145,3944.445,123.6
5,145,28.94056,1
5,145,664.454,20.3
5,145,3650.274,134.2
5,145,5129.382,184.1
5,145,3800.428,136.6
5,145,2268.451,85.9
5,146,5804.84,180.6
5,146,8021.999,267.2
5,146,8476.168,277.3
5,146,5672.622,178.5
5,147,27171.19,874.3
5,147,4361.805,132.2
5,147,9805.248,313.7
5,147,1312.978,48.4
5,149,1337.973,51.8
5,149,1.195278,0.2
5,152,1163.808,41.4
5,152,118.777,4.4
5,153,5286.236,168
5,153,6.794723,0.2
5,153,1821.788,58.2
5,153,41031.99,1274.4
5,153,5097.675,148.9
5,153,3716.004,118.2
5,162,5841.99,188.5
5,162,1934.205,65.3
5,163,1692.068,57.3
5,163,5614.485,180.6
5,163,22784.64,676.2
5,163,3364.099,119.1
5,163,4528.006,148.7
5,166,14093.94,469.2
5,166,9023.978,313.9
5,166,8927.786,321.8
5,166,14338.59,478.1
5,166,1180.128,44.4
5,166,406.1578,19.3
5,169,6138.16,194.7
5,170,14943.61,459.9
5,172,41514.56,1251.5
5,172,1053.825,30.7
5,172,170.1642,6.6
5,172,90.24973,3.4
5,173,742.974,27.7
5,173,1912.444,67.3
5,175,16822.75,504.8
5,175,3426.759,104.2
5,175,6512.719,210
